タイムスタンプ,あなたの年齢(半角数字整数で入力してください),あなたの性別,自分の歌唱力についてご回答ください。,歌った楽曲の名前（アーティストの名前）,この曲のAメロの難易度をご回答ください。,（３，４と答えた方のみ）難しい理由,その他を選択した方のみ難易度の理由を自由記述でご記入ください。,この曲のBメロの難易度をご回答ください。,上記の難易度にした理由,その他を選択した方のみ難易度の理由を自由記述でご記入ください。,この曲のサビの難易度をご回答ください。,上記の難易度にした理由,その他を選択した方のみ難易度の理由を自由記述でご記入ください。,この曲の嗜好度（どれくらい好きか）をご回答ください。,この曲のメロディをどれくらい覚えているかをご回答ください。,この曲を聴く頻度をご回答ください。,この曲のなじみやすさを直感的にご回答ください。,その他、この曲について何かあればご記入ください,,（３，４と答えた方のみ）難しい理由,（３，４と答えた方のみ）難しい理由
4,24,男性,,ポルノグラフィティ,3,"メロディが複雑で正確に音程を取りづらい, ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある",,3,,,3,,,3,あまり覚えてない,1,2,,,"メロディが複雑で正確に音程を取りづらい, テンポが速い",テンポが速い
4,24,男性,,レミオロメン,2,,,2,,,3,,,4,だいたいは覚えている,1,3,,,,音域が広い
4,24,男性,,BUMP OF CHICKEN,3,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい",,3,,,3,,,3,完璧に覚えている,4,3,,,"メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, リズムが複雑でわかりにくい","メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, リズムが複雑でわかりにくい"
5,24,男性,,スピッツ,3,テンポが速い,,3,,,2,,,4,だいたいは覚えている,2,4,,,音域が広い,
5,24,男性,,サザンオールスターズ,2,,,3,,,1,,,4,だいたいは覚えている,3,4,,,音域が広い,
5,24,男性,,粉雪 レミオロメン,3,"テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,4,,,1,,,3,あまり覚えてない,2,3,,,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい",
5,24,男性,,浪漫飛行 米米CLUB,4,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,4,,,2,,,4,あまり覚えてない,1,3,,,"メロディが複雑で正確に音程を取りづらい, テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",
5,24,男性,,ホウキ雲 RYTHEM,3,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい",,2,,,3,,,3,だいたいは覚えている,2,3,,,,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい"
5,24,男性,,マスターピース mihimaru GT,4,"音域が広い, 16分音符などが多くてリズムが細かい",,4,,,2,,,3,だいたいは覚えている,3,3,,,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい",
6,24,男性,,スピッツ,2,,,3,,,3,,,4,だいたいは覚えている,2,3,気分が楽しくなる曲です,,"メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある",音域が広い
6,24,男性,,アポロ,2,,,3,,,4,,,3,あまり覚えてない,1,4,,,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい","メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, テンポが速い, リズムが複雑でわかりにくい"
6,24,男性,,粉雪,3,ゆっくりで音の変化が少なく、抑揚が付きにくい,,3,,,3,,,4,だいたいは覚えている,2,3,,,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい",音の飛びが激しく音程がとれない
6,24,男性,,小さな恋のうた(MONGOL800),1,,,2,,,2,,,4,完璧に覚えている,4,4,,,,
6,24,男性,,sailing day (BUMP OF CHICKEN),3,"メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい",,3,,,3,,,4,だいたいは覚えている,3,3,,,"メロディが複雑で正確に音程を取りづらい, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい","メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, テンポが速い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい"
6,24,男性,,月灯りの下で(MONGOL800),3,"メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, リズムが複雑でわかりにくい",,2,,,4,,,4,だいたいは覚えている,3,2,,,,"メロディが複雑で正確に音程を取りづらい, 音の飛びが激しく音程がとれない, 音域が広い, リズムが複雑でわかりにくい, 16分音符などが多くてリズムが細かい, ロングトーンがあったり息継ぎタイミングがわかりにくく肺活量的に無理がある, 1番と2番のテンポやリズムが異なる"
